Funds,FundManager,Category,RupeeVestRating,AUM,ExpenseRatio,FundType,InceptionDate,BenchmarkIndex, NAV , 52WeekHigh, 52WeekLow,Return1mo,Return3mo,Return6mo,Return1yr,Return2yrs,Return3yrs,Return5yrs,Return10yrs,TurnoverRatio, NoofStocks,AvgMarketCap,LargeCap,MidCap,SmallCap,HighestSector,AvgMaturity,ModDuration,YieldToMaturity,Alpha,Sharpe,Sortino,Beta,StandardDeviation,classification,ExitloadRemarks
HDFC Sensex ETF,Krishan Daga,EQ-ETF,Unrated,100.6,0.05,Open Ended,9-Dec-15,S&P BSE SENSEX - TRI,517.01,5548.09,509.97,-4.42,-1.75,19.87,59.57,12.28,13.61,14.93,-,40.13,30,429059,99.92,-,-,Financials,-,-,-,1.34,2.47,4.08,1,20.83,Equity : ETFs,null
HDFC Short Term Debt Fund(G),Anil Bamboli,DT-SD,5,16804.9,0.74,Open Ended,25-Jun-10,Crisil Short Term Bond Fund Index,24.66,24.66,22.45,0.98,0.39,2.25,10.03,9.18,8.62,8.21,8.81,0,-,-,-,-,-,-,2.8,2.08,5.51,6.85,4.25,7.78,-,1.63,Debt : Short Duration,Nil
HDFC Small Cap Fund-Reg(G),Chirag Setalvad,EQ-SML,3,10050.3,1.8,Open Ended,3-Apr-08,Nifty Smallcap 100 - TRI,53.46,55.33,26.71,-0.24,10.57,39.78,97.54,9.23,4.87,15.29,13.36,6.57,68,5559,1.2,12.67,80.74,Technology,-,-,-,42.39,3.94,6.7,0.62,18.63,Equity : Small Cap,1% on or before 1Y Nil after 1Y
HDFC TaxSaver(G),Amit Ganatra,EQ-ELSS,1,7920.5,1.84,Open Ended,31-Mar-96,NIFTY 500 - TRI,573.78,605.67,367.22,-3.92,-0.26,22.81,52.06,3.66,3.8,9.88,9.17,40.76,61,153190,77.62,15.32,5.01,Financials,-,-,-,5.09,2.52,4.11,0.85,18.96,Equity : Tax Saving (ELSS),Nil
HDFC Top 100 Fund(G),Prashant Jain,EQ-LC,2,18660.2,1.85,Open Ended,3-Sep-96,NIFTY 100 - TRI,562.45,609.44,347.88,-5.82,-0.4,28.07,56.04,5.1,8.23,12.33,9.91,33.35,55,183646,88.72,8.69,0.89,Financials,-,-,-,1.66,2.35,3.81,0.96,21.28,Equity : Large Cap,1% on or before 1Y Nil after 1Y
HDFC Ultra Short Term Fund-Reg(G),Anil Bamboli,DT-USD,Unrated,17220.8,0.64,Open Ended,24-Sep-18,CRISIL Ultra Short Term Debt Index,11.86,11.86,11.21,0.42,0.87,1.91,5.84,6.31,-,-,-,0,-,-,-,-,-,-,0.55,0.5,4.03,2.97,6.64,14.25,-,0.45,Debt : Ultra Short Duration,Nil
HSBC Cash Fund(G),Kapil Punjabi,DT-LIQ,3,3368.6,0.22,Open Ended,1-Jun-04,Crisil Liquid Fund Index,2040.82,2040.82,1973.57,0.28,0.78,1.52,3.42,4.7,5.63,6.17,3.08,0,-,-,-,-,-,-,0.08,0.08,3.27,0.08,0.83,1.13,-,0.09,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
HSBC Corporate Bond Fund-Reg(G),Ritesh Jain,DT-CORP,Unrated,374.1,0.78,Open Ended,29-Sep-20,NIFTY Corporate Bond Index,10.2,10.25,10,1.06,-0.11,1.69,-,-,-,-,-,0,-,-,-,-,-,-,3.27,2.74,5.73,-,-,-,-,-,Debt : Corporate Bond,Nil
HSBC Debt Fund(G),Kapil Punjabi,DT-M&LD,Unrated,35.1,2.07,Open Ended,10-Dec-02,Crisil Composite Bond Fund Index,34.43,35.02,32.51,1.78,-1.09,0.32,6.39,7.98,7.58,6.46,7.39,0,-,-,-,-,-,-,6.9,5.11,6.35,3.68,1.2,2.05,-,3.04,Debt : Medium to Long Duration,Nil
HSBC Equity Hybrid Fund-Reg(G),Neelotpal Sahai,HY-EQ,Unrated,487.5,2.49,Open Ended,22-Oct-18,S&P BSE 200,13.54,14.24,9.49,-3.16,-1.04,15.49,40.91,11.17,-,-,-,91,38,206025,61.46,9.65,2.66,Financials,-,-,-,36.64,2.64,4.34,-,13.94,Hybrid : Equity Oriented,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
HSBC Flexi Cap Fund(G),Neelotpal Sahai,EQ-MLC,2,362.3,2.54,Open Ended,24-Feb-04,NIFTY 500 - TRI,105.26,112.14,64.43,-4.07,-0.45,21.26,58.2,8.31,5.94,11.18,11.25,89,43,170420,77.87,16.1,4.99,Financials,-,-,-,4.84,2.56,4.16,0.91,19.64,Equity : Multi Cap,1% on or before 1Y Nil after 1Y
HSBC Flexi Debt Fund(G),Ritesh Jain,DT-DYN,Unrated,61.7,1.74,Open Ended,5-Oct-07,Crisil Composite Bond Fund Index,28.21,28.49,26.56,1.55,-0.53,0.9,6.6,8.06,7.48,6.66,7.76,0,-,-,-,-,-,-,4.39,3.11,5.24,3.98,1.48,2.44,-,2.67,Debt : Dynamic Bond,Nil
HSBC Focused Equity Fund-Reg(G),Neelotpal Sahai,EQ-MLC,Unrated,577.4,2.5,Open Ended,22-Jul-20,S&P BSE 200 - TRI,13.01,13.8,9.67,-4.02,-0.72,23.41,-,-,-,-,-,-,27,226389,84.39,13.34,1.36,Financials,-,-,-,-,-,-,-,-,Equity : Multi Cap,1% on or before 1Y Nil after 1Y
HSBC FTS-130-Reg(G),Kapil Punjabi,DT-FMP,Unrated,28.6,-,Closed Ended,22-Dec-17,Crisil Composite Bond Fund Index,12.44,12.44,11.83,0.24,0.71,1.55,5.2,6.83,6.75,-,-,0,-,-,-,-,-,-,2.22,-,-,2.44,5.15,12.75,-,0.48,Debt : FTP/FMP,null
HSBC FTS-131-Reg(G),Kapil Punjabi,DT-FMP,Unrated,49.3,-,Closed Ended,21-Mar-18,Crisil Composite Bond Fund Index,12.17,12.17,11.48,0.27,0.76,1.68,6.07,6.38,6.56,-,-,0,-,-,-,-,-,-,2.46,-,-,3.2,5.5,14.23,-,0.58,Debt : FTP/FMP,null
HSBC FTS-132-Reg(G),Kapil Punjabi,DT-FMP,Unrated,155.3,-,Closed Ended,12-Mar-18,Crisil Composite Bond Fund Index,12.62,12.62,11.62,0.39,1.38,3.12,8.7,8.34,7.67,-,-,0,-,-,-,-,-,-,2.48,-,-,5.7,7.74,14.53,-,0.73,Debt : FTP/FMP,null
HSBC FTS-133-Reg(G),Kapil Punjabi,DT-FMP,Unrated,118.3,-,Closed Ended,27-Mar-18,Crisil Composite Bond Fund Index,12.27,12.27,11.4,0.33,1.2,2.72,7.68,6.96,6.86,-,-,0,-,-,-,-,-,-,2.49,-,-,4.74,7.26,14.04,-,0.65,Debt : FTP/FMP,null
HSBC FTS-134-Reg(G),Kapil Punjabi,DT-FMP,Unrated,173.3,-,Closed Ended,8-Jun-18,Crisil Composite Bond Fund Index,11.01,11.01,10.4,0.31,0.83,1.81,5.96,1.55,-,-,-,0,-,-,-,-,-,-,2.67,-,-,3.1,3.93,5.71,-,0.79,Debt : FTP/FMP,null
HSBC FTS-135-Reg(G),Kapil Punjabi,DT-FMP,Unrated,184,-,Closed Ended,10-Jul-18,Crisil Composite Bond Fund Index,10.98,10.98,10.35,0.33,0.85,1.93,6.25,1.85,-,-,-,0,-,-,-,-,-,-,2.69,-,-,3.38,4.17,6.36,-,0.81,Debt : FTP/FMP,null
HSBC FTS-136-Reg(G),Kapil Punjabi,DT-FMP,Unrated,52.7,-,Closed Ended,13-Aug-18,Crisil Composite Bond Fund Index,11.06,11.06,10.27,0.42,1.47,3.17,6.92,2.76,-,-,-,0,-,-,-,-,-,-,2.8,-,-,4.01,2.54,3,-,1.58,Debt : FTP/FMP,null
HSBC FTS-137-Reg(G),Kapil Punjabi,DT-FMP,Unrated,71.7,-,Closed Ended,18-Jan-19,Crisil Composite Bond Fund Index,12.21,12.21,11.18,0.67,1.02,2.46,9.44,9.02,-,-,-,-,-,-,-,-,-,-,-,-,-,6.3,5.42,12.05,-,1.17,Debt : FTP/FMP,null
HSBC FTS-139-Reg(G),Kapil Punjabi,DT-FMP,Unrated,51.8,-,Closed Ended,26-Feb-19,Crisil Composite Bond Fund Index,12.11,12.11,11.1,0.67,0.96,2.38,9.21,9.13,-,-,-,-,-,-,-,-,-,-,-,-,-,6.12,5.53,12,-,1.12,Debt : FTP/FMP,null
HSBC FTS-140-Reg(G),Kapil Punjabi,DT-FMP,Unrated,46,-,Closed Ended,26-Apr-19,Crisil Composite Bond Fund Index,11.95,11.95,10.92,0.73,1,2.49,9.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.55,5.59,12.35,-,1.18,Debt : FTP/FMP,null
HSBC Infra Equity Fund(G),Gautam Bhupal,EQ-INFRA,Unrated,97.6,2.57,Open Ended,23-Feb-06,S&P BSE India Infrastructure Index - TRI,19.7,20.84,10.4,-4.24,12.75,51.27,89.66,4.59,-7.53,4.41,4.82,29,31,35949,42.33,27.72,28.18,Infrastructure,-,-,-,32.53,3.5,5.99,0.77,20.26,Equity : Sectoral - Infrastructure,1% on or before 1Y Nil after 1Y
HSBC Large & Mid Cap Equity Fund-Reg(G),Neelotpal Sahai,EQ-L&M,Unrated,487.2,2.49,Open Ended,28-Mar-19,Nifty LargeMidcap 250 Index - TRI,12.74,13.43,7.83,-3.73,1.13,25.82,58.13,12.29,-,-,-,70,52,99952,57.95,38.06,3.03,Financials,-,-,-,8.34,2.7,4.34,0.82,18.36,Equity : Large & Mid Cap,1% on or before 1Y Nil after 1Y
HSBC Large Cap Equity Fund(G),Neelotpal Sahai,EQ-LC,3,700.5,2.47,Open Ended,10-Dec-02,NIFTY 50 - TRI,266.64,288.64,168.44,-4.67,-2.36,19.92,53.96,12.23,9.94,13.34,9.55,83,28,340535,97.41,1.78,-,Financials,-,-,-,0.83,2.4,3.97,0.94,19.84,Equity : Large Cap,1% on or before 1Y Nil after 1Y
HSBC Low Duration Fund(G),Kapil Punjabi,DT-LOWD,1,114.5,1.02,Open Ended,17-Oct-06,CRISIL Low Duration Debt Index,16.21,16.21,14.3,0.53,0.66,1.61,3.17,-0.51,1.94,3.85,1.94,0,-,-,-,-,-,-,0.83,0.77,4.27,1.16,0.09,0.12,-,12.64,Debt : Low Duration,Nil
HSBC Managed Solutions India-Conservative(G),Gautam Bhupal,FOF-DOM,Unrated,49.7,1.6,Open Ended,30-Apr-14,Crisil Composite Bond Fund Index,16.71,16.82,14.78,0.42,-0.56,2.95,9.9,6.16,6.18,6.67,-,12,-,-,-,-,-,-,-,-,-,7.86,1.22,1.76,-,6.51,FoFs : Domestic,1% on or before 1Y Nil after 1Y
HSBC Managed Solutions India-Growth(G),Gautam Bhupal,FOF-DOM,Unrated,40.3,1.82,Open Ended,30-Apr-14,S&P BSE 200,22.18,23.5,14.45,-4.43,-0.93,18.82,48.71,11.45,7.53,12.01,-,18,-,-,-,-,-,-,-,-,-,45.23,2.94,4.76,-,15.54,FoFs : Domestic,1% on or before 1Y Nil after 1Y
HSBC Managed Solutions India-Moderate(G),Gautam Bhupal,FOF-DOM,Unrated,68.7,1.9,Open Ended,30-Apr-14,CRISIL Hybrid 35+65 - Aggressive Index,20.88,21.87,14.52,-3.4,-0.83,15.36,39.2,10.62,7.41,10.99,-,18,-,-,-,-,-,-,-,-,-,36.94,2.9,4.7,-,12.86,FoFs : Domestic,1% on or before 1Y Nil after 1Y
HSBC Overnight Fund-Reg(G),Kapil Punjabi,DT-ON,Unrated,354.5,0.26,Open Ended,22-May-19,CRISIL Overnight Index,1074.33,1074.33,1043.48,0.26,0.74,1.46,2.97,-,-,-,-,0,-,-,-,-,-,-,-,-,3.29,-0.3,-4.62,-6.36,-,0.07,Debt : Overnight,Nil
HSBC Regular Savings Fund(G),Gautam Bhupal,HY-DT(CO),Unrated,81.3,2.28,Open Ended,24-Feb-04,CRISIL Hybrid 85+15 - Conservative Index,42.62,43.36,36.79,-0.46,-1.13,4.96,15.69,8.11,6.57,7.38,8.24,0,30,246752,21.27,1.87,0.77,Financials,4.43,3.46,5.9,14.06,2.79,4.64,-,5.05,Hybrid : Debt Oriented (Conservative),1% on or before 1Y Nil after 1Y
HSBC Short Duration Fund(G),Ritesh Jain,DT-SD,1,153.4,1.3,Open Ended,10-Dec-02,Crisil Short Term Bond Fund Index,31.13,31.13,27.29,0.74,0.31,1.74,4.47,1.34,3.02,4.48,6.5,0,-,-,-,-,-,-,2.01,1.73,5.42,2.39,0.2,0.27,-,12.53,Debt : Short Duration,Nil
HSBC Small Cap Equity Fund(G),Ankur Arora,EQ-SML,2,325.4,2.52,Open Ended,19-May-05,S&P BSE 250 Small Cap - TRI,63.08,65.52,32.34,-3.36,8.43,34.98,95.47,11.66,0.4,10.7,11.37,48,41,8917,3.83,28.78,66.76,Chemicals,-,-,-,38.35,3.65,6.25,0.66,19.63,Equity : Small Cap,1% on or before 1Y Nil after 1Y
HSBC Tax Saver Equity Fund(G),Gautam Bhupal,EQ-ELSS,3,169.4,2.49,Open Ended,5-Jan-07,S&P BSE 200 - TRI,44.71,47.82,27.85,-4.32,-0.13,22.4,54.06,8.89,5.56,11.78,11.64,61,39,176942,78.09,13.77,7.11,Financials,-,-,-,2.14,2.44,3.95,0.9,19.35,Equity : Tax Saving (ELSS),Nil
HSBC Ultra Short Duration Fund-Reg(G),Kapil Punjabi,DT-USD,Unrated,583,0.5,Open Ended,29-Jan-20,CRISIL Ultra Short Term Debt Index,1058.87,1058.87,1010.45,0.38,0.86,1.7,4.85,-,-,-,-,0,-,-,-,-,-,-,0.39,0.39,3.68,2.07,5.41,12.21,-,0.38,Debt : Ultra Short Duration,Nil
ICICI Pru All Seasons Bond Fund(G),Manish Banthia,DT-DYN,3,5536.3,1.5,Open Ended,20-Jan-10,NIFTY Composite Bond Index,28.07,28.08,25.45,1.1,0.72,2.58,10.64,10.25,8.9,9.07,10.14,0,-,-,-,-,-,-,4.29,2.99,6.29,7.71,2.87,5.63,-,2.69,Debt : Dynamic Bond,0.25% on or before 1M Nil after 1M
ICICI Pru Alpha Low Vol 30 ETF,Kayzad Eghlim,EQ-ETF,Unrated,52.2,0.4,Open Ended,12-Aug-20,NIFTY Alpha Low-Volatility 30 - TRI,143.56,147.82,115.46,2.37,-0.45,15.91,-,-,-,-,-,41,30,102431,92.14,7.71,-,Healthcare,-,-,-,-,-,-,-,-,Equity : ETFs,null
ICICI Pru Asset Allocator Fund(FOF)(G),Sankaran Naren,FOF-DOM,Unrated,10277.8,1.37,Open Ended,18-Dec-03,CRISIL Hybrid 50+50 - Moderate Index,69.09,70.44,49.93,-1.19,0.85,15.14,36.82,12,11.27,12.34,10.74,0,-,-,-,-,-,-,2.35,1.09,4.6,35.31,2.93,4.69,-,12.08,FoFs : Domestic,Nil upto 10% of units and 1% for in excess units on or before 1Y and Nil after 1Y
ICICI Pru Balanced Advantage Fund(G),Manish Banthia,HY-DYN,4,30280.7,1.76,Open Ended,30-Dec-06,CRISIL Hybrid 50+50 - Moderate Index,43.99,44.99,31.39,-1.43,1.1,13.64,39.08,11.03,9.43,11.08,12.07,36,126,166522,56.14,6.91,1.9,Financials,1.43,0.89,5.5,34.32,2.85,4.68,-,12.11,Hybrid : Dynamic Asset Allocation,Nil upto 10% of units and 1% for Excess units on or before 1Y Nil after 1Y
ICICI Pru Bank ETF,Kayzad Eghlim,EQ-ETF,Unrated,2022,0.16,Open Ended,10-Jul-19,NIFTY BANK - TRI,315.72,370.64,171.96,-10.47,-2.46,35.15,62.84,-,-,-,-,112,13,326336,94.62,5.35,-,Financials,-,-,5.27,55.82,1.69,2.92,-,33.72,Equity : ETFs,null
ICICI Pru Banking & Fin Serv Fund(G),Roshan Chutkey,EQ-FIN,2,3865.1,2.01,Open Ended,22-Aug-08,Nifty Financial Services - TRI,69.01,77.97,38.46,-9.14,-1.44,33.02,66.21,0.73,5.32,15.58,13.49,57,31,85368,56.64,18.19,18.29,Financials,-,-,-,-3.73,2.02,3.33,1.23,28.48,Equity : Sectoral - Financial Services,1% on or before 15D NIL after 15D
ICICI Pru Banking & PSU Debt Fund(G),Rahul Goswami,DT-B&PSU,1,14452.3,0.82,Open Ended,1-Jan-10,CRISIL Banking and PSU Debt Index,25.05,25.05,22.91,0.75,0.36,2.23,9.55,8.63,7.79,7.97,8.7,0,-,-,-,-,-,-,3.85,1.89,5.51,6.55,3.57,6.59,-,1.85,Debt : Banking & PSU,Nil
ICICI Pru Bharat 22 FOF-(G),Kayzad Eghlim,FOF-DOM,Unrated,28.6,0.01,Open Ended,29-Jun-18,S&P BSE Bharat 22 Index,9.99,11.41,6.57,-10.86,0.12,38.17,42.12,-5.36,-,-,-,-,22,-,-,-,-,-,-,-,-,41.45,1.73,2.8,-,24.58,FoFs : Domestic,Nil
ICICI Pru Bharat Consumption Fund(G),Dharmesh Kakkad,EQ-CONS,Unrated,273.1,2.45,Open Ended,12-Apr-19,NIFTY CONSUMPTION - TRI,11.85,12.59,8.26,-2.15,-2.87,18.86,35.89,7.88,-,-,-,23,22,78973,64.16,27.65,6.47,Automobile and Ancillaries,-,-,-,-0.23,1.88,3.03,0.7,18.35,Equity : Thematic - Consumption,1% on or before 3M Nil after 3M
ICICI Pru Bharat Consumption Fund-1-(G),Anish Tawakley,EQ-CONS,Unrated,1206.5,1.39,Closed Ended,11-Apr-18,NIFTY CONSUMPTION,12.97,13.49,8.59,-1.97,1.09,25.68,47.05,11.35,9.08,-,-,71,48,29234,41.95,37.99,14.04,Automobile and Ancillaries,-,-,-,11.39,2.52,4.12,0.67,17.9,Equity : Thematic - Consumption,null
ICICI Pru Bharat Consumption Fund-2-(G),Roshan Chutkey,EQ-CONS,Unrated,357.6,1.41,Closed Ended,4-May-18,NIFTY CONSUMPTION,12.73,13.37,8.96,-2.68,-1.77,19.87,38.07,10.64,-,-,-,22,35,53952,61.83,18.32,16.34,FMCG,-,-,-,7.41,2.2,3.77,0.62,17.34,Equity : Thematic - Consumption,null
ICICI Pru Bharat Consumption Fund-3-(G),Anish Tawakley,EQ-CONS,Unrated,164.7,1.37,Closed Ended,17-Jul-18,NIFTY CONSUMPTION,13.38,13.81,8.6,-1.25,2.14,28.53,51.53,12.75,-,-,-,73,45,21759,40.79,27.85,25.31,Automobile and Ancillaries,-,-,-,14.67,2.7,4.4,0.66,17.75,Equity : Thematic - Consumption,null
ICICI Pru Bharat Consumption Fund-4-(G),Sankaran Naren,EQ-CONS,Unrated,503.9,1.37,Closed Ended,20-Aug-18,NIFTY CONSUMPTION,12.06,12.71,8.17,-2.03,-2.74,19.29,39.42,9.54,-,-,-,23,20,93118,67.73,27.11,3.83,Automobile and Ancillaries,-,-,-,2.44,2.04,3.28,0.69,18.03,Equity : Thematic - Consumption,null
ICICI Pru Bharat Consumption Fund-5-(G),Sankaran Naren,EQ-CONS,Unrated,44.6,1.38,Closed Ended,28-Nov-18,NIFTY CONSUMPTION,13.98,14.51,9.21,-2.37,1.6,25.95,50,13.36,-,-,-,73,33,19031,31,19.91,46.55,FMCG,-,-,-,13.91,2.64,4.29,0.66,17.71,Equity : Thematic - Consumption,null
ICICI Pru Bluechip Fund(G),Anish Tawakley,EQ-LC,3,26467.8,1.72,Open Ended,23-May-08,NIFTY 100 - TRI,52.77,56.02,32.91,-4.37,-1.09,24.22,56.73,10.76,9.7,13.47,11.9,24,63,229077,89.87,6.61,0.6,Financials,-,-,-,4.51,2.56,4.17,0.91,19.55,Equity : Large Cap,1% on or before 1Y NIL after 1Y
ICICI Pru Bond Fund(G),Manish Banthia,DT-M&LD,3,3409.4,1.2,Open Ended,18-Aug-08,NIFTY Medium to Long Term Debt Index,31.01,31.07,28.2,1.65,-0.01,1.62,10.36,9.81,8.52,8,8.67,0,-,-,-,-,-,-,6.45,4.54,5.97,7.33,2.83,5.33,-,2.61,Debt : Medium to Long Duration,0.25% upto 1M Nil after 1M
ICICI Pru Business Cycle Fund(G),Anish Tawakley,EQ-THEM,Unrated,4606.3,1.91,Open Ended,18-Jan-21,NIFTY 500 - TRI,10.38,11.03,9.89,-4.42,-,-,-,-,-,-,-,1,47,143843,73.01,8.61,4.96,Financials,-,-,-,-,-,-,-,-,Equity : Thematic,1% on or before 12M Nil after 12M
ICICI Pru Child Care Fund-Gift Plan,Ashwin Jain,HY-SOL,3,741.1,2.45,Open Ended,31-Aug-01,NIFTY 50 Hybrid Composite Debt 65:35 Index,165.02,170,115.82,-1.69,-1.67,17.21,41.15,7.91,7.16,10.57,11.15,51,26,124700,54.21,5.86,8.42,Financials,-,-,-,37.14,2.65,4.36,-,13.99,Hybrid : Solution Oriented,Nil
ICICI Pru Commodities Fund(G),Sankaran Naren,EQ-THEM,Unrated,214.2,2.6,Open Ended,15-Oct-19,NIFTY COMMODITIES - TRI,17.95,18.6,7.42,8.33,14.26,68.07,143.89,-,-,-,-,103,22,11394,33.29,12.7,45.9,Metals,-,-,-,55.41,3.77,6.28,0.87,26.22,Equity : Thematic,1% on or before 3M Nil after 3M
ICICI Pru Constant Maturity Gilt Fund(G),Rahul Goswami,DT-GL10Y,Unrated,325.8,0.39,Open Ended,12-Sep-14,Crisil 10 Yr Gilt Index,19.03,19.25,17.41,2.02,-0.62,0.89,10.02,12.17,11.23,9.74,-,0,-,-,-,-,-,-,9.73,6.95,6.45,7.18,1.89,3.41,-,3.79,Debt : Gilt (10 Yr Constant Duration),Nil
ICICI Pru Corp Bond Fund(G),Anuj Tagra,DT-CORP,3,19145.8,0.59,Open Ended,11-Aug-09,CRISIL AAA Short Term Bond Index,22.74,22.74,20.75,0.97,0.61,2.34,9.88,9.04,8.38,8.08,8.54,0,-,-,-,-,-,-,3.37,1.9,5.01,6.9,4.49,8.74,-,1.54,Debt : Corporate Bond,Nil
ICICI Pru CPO Fund-XI-A-2056D(G),Prakash Gaurav Goel,HY-DT(CO),Unrated,33.9,-,Closed Ended,14-Dec-16,Crisil Composite Bond Fund Index,14,14.12,12.12,-0.37,0.53,6.65,15.77,9.12,8.58,-,-,0,17,300178,21.42,-,-,Financials,3.56,-,-,13.94,3.35,5.79,-,4.17,Hybrid : Debt Oriented (Conservative),null
ICICI Pru CPO Fund-XII-C-1270D(G),Prakash Gaurav Goel,HY-DT(CO),Unrated,31.5,-,Closed Ended,10-Oct-17,Crisil Composite Bond Fund Index,12.3,12.3,11.32,0.19,2.18,5.89,10.27,7.18,6.47,-,-,0,7,-,-,-,-,-,2.18,-,-,7.38,2.9,5.11,-,2.54,Hybrid : Debt Oriented (Conservative),null
ICICI Pru CPO Fund-XIV-A-1275D(G),Rajat Chandak,HY-DT(CO),Unrated,506.8,-,Closed Ended,4-Dec-18,Crisil Composite Bond Fund Index,12.7,12.91,10.89,-1.13,0.13,4.68,16.18,9.94,-,-,-,-,11,275270,18.19,-,-,Financials,-,-,-,13.99,3.26,5.8,-,4.32,Hybrid : Debt Oriented (Conservative),null
ICICI Pru Credit Risk Fund(G),Manish Banthia,DT-CR,5,7217.2,1.55,Open Ended,3-Dec-10,CRISIL Short Term Credit Risk Fund,23.64,23.65,21.55,0.66,0.99,3.31,9.29,8.97,8.28,8.24,8.69,0,-,-,-,-,-,-,2.31,1.54,7.82,6.27,4.33,7.43,-,1.45,Debt : Credit Risk,Nil upto 10% of units and 1% on remaining units on or before 1Y Nil after 1Y
ICICI Pru Debt Mgmt Fund(FOF)(G),Manish Banthia,FOF-DOM,Unrated,177.6,0.25,Open Ended,18-Dec-03,Crisil Composite Bond Fund Index,34.46,34.46,31.5,0.81,0.9,2.91,9.48,8.45,7.8,7.96,8.47,0,-,-,-,-,-,-,-,-,7.58,6.53,5.58,10.84,-,1.17,FoFs : Domestic,0.25% on or before 1M Nil after 1M
ICICI Pru Dividend Yield Equity Fund(G),Mittul Kalawadia,EQ-DIV,Unrated,227.6,2.87,Open Ended,16-May-14,NIFTY DIV OPPS 50 - TRI,19.74,20.76,11.57,-3.89,2.97,34.01,67.71,6.7,3.78,11.23,-,87,33,43772,50.91,19.35,25.58,Energy,-,-,-,23.46,3.12,5.03,0.66,18.01,Equity : Thematic - Dividend Yield,1% on or before 1Y Nil after 1Y
ICICI Pru Equity & Debt Fund(G),Sankaran Naren,HY-EQ,4,16395.1,1.78,Open Ended,3-Nov-99,CRISIL Hybrid 35+65 - Aggressive Index,168.68,177.04,110.96,-2.91,3.76,34.56,49.53,10.88,9.82,13.08,13.58,29,68,98079,60.54,7.46,8.56,Energy,1.09,0.76,6.77,45.16,2.74,4.57,-,16.5,Hybrid : Equity Oriented,Nil on 10% of units within 1Y and 1% for more than 10% of units within 1Y Nil after 1Y
ICICI Pru Equity Savings Fund(G),Kayzad Eghlim,HY-EQ,3,1072,1.51,Open Ended,5-Dec-14,NIFTY 50 Equity Savings Index,15.96,16.02,12.85,0.31,1.85,11.14,22.11,7.4,7.26,8.65,-,54,47,246007,69.46,0.23,0.46,Technology,0.36,0.31,5.01,19.86,2.5,4.01,-,7.93,Hybrid : Equity Oriented,1% on or before 15D NIL after 15D
ICICI Pru Equity-Arbitrage Fund(G),Kayzad Eghlim,HY-ARB,3,10455.7,0.98,Open Ended,30-Dec-06,Nifty 50 Arbitrage Index,26.86,26.87,25.89,0.5,1.1,1.81,3.73,4.92,5.22,5.57,7.05,188,126,143125,64.18,8.68,0.6,Financials,-,-,-,0.73,0.55,0.9,-,1.23,Hybrid : Arbitrage,0.25% on or before 1M Nil after 1M
ICICI Pru ESG Fund(G),Lakshminarayanan K G,EQ-THEM,Unrated,1665.7,2.15,Open Ended,9-Oct-20,Nifty 100 ESG Index - TRI,11.67,12.03,9.94,-1.27,-0.93,16.82,-,-,-,-,-,42,31,111068,70.7,15.59,10.25,Financials,-,-,-,-,-,-,-,-,Equity : Thematic,1% on or before 12M Nil after 12M
ICICI Pru Exports & Services Fund(G),Sankaran Naren,EQ-THEM,2,729,2.6,Open Ended,30-Nov-05,S&P BSE 500 - TRI,72.59,75.69,44.87,-2.37,-2.13,25.13,59.05,12.19,7.26,10.67,14.92,58,22,132906,87.08,4.15,7.6,Financials,-,-,-,13.89,2.7,4.38,0.76,19.2,Equity : Thematic,1% on or before 15D Nil after 15D
ICICI Pru Floating Interest Fund(G),Rahul Goswami,DT-FL,Unrated,13124.9,1.4,Open Ended,17-Nov-05,CRISIL Low Duration Debt Index,324.45,324.88,299.03,0.34,0.06,2.24,8.51,7.85,7.5,7.52,8.31,0,-,-,-,-,-,-,5.05,0.82,5.46,5.57,4.7,8.21,-,1.19,Debt : Floater,Nil
ICICI Pru FMCG Fund(G),Ihab Dalwai,EQ-CONS,3,605.9,2.61,Open Ended,31-Mar-99,NIFTY FMCG - TRI,274.96,280.75,205.29,0.88,-1.5,17.82,26.49,5.68,7.11,11.62,14.99,54,22,91252,70.28,16.49,9.48,FMCG,-,-,-,1.41,1.59,2.62,0.45,15.15,Equity : Thematic - Consumption,1% on or before 15D NIL after 15D
ICICI Pru FMP-74-9Y-U(G),Rahul Goswami,DT-FMP,Unrated,36.6,-,Closed Ended,26-Jun-14,Crisil Composite Bond Fund Index,16.98,17,15.74,0.58,0.47,2.26,8.46,9.54,9.01,8.25,-,0,-,-,-,-,-,-,4.34,-,-,5.7,3.15,6.74,-,1.85,Debt : FTP/FMP,null
ICICI Pru FMP-82-1119D-X(G),Rahul Goswami,DT-FMP,Unrated,40.1,-,Closed Ended,13-Apr-18,CRISIL Medium Term Debt Index,12.41,12.41,11.73,0.28,0.8,1.72,5.89,7.26,-,-,-,0,-,-,-,-,-,-,2.36,-,-,3.07,5.87,17.85,-,0.52,Debt : FTP/FMP,null
